determinand,Nx,sNx,sCm,vCm,Nss,digestion
CB101,0,0.05,0.05,0.1,,nn
CB105,0,0.05,0.05,0.1,,nn
CB118,0,0.05,0.05,0.1,,nn
CB126,0,0.05,0.05,0.1,,nn
CB138,0,0.05,0.05,0.1,,nn
CB153,0,0.05,0.05,0.1,,nn
CB156,0,0.05,0.05,0.1,,nn
CB169,0,0.05,0.05,0.1,,nn
CB180,0,0.05,0.05,0.1,,nn
CB28,0,0.05,0.05,0.1,,nn
CB52,0,0.05,0.05,0.1,,nn
CB77,0,0.05,0.05,0.1,,nn
SCB7,0,0.05,0.2,0.1,,nn
CDF2T,0,0.05,0.2,0.1,,nn
CDD1N,0,0.05,0.2,0.1,,nn
TCDD,0,0.05,0.2,0.1,,nn
TEQDFP,0,0.05,0.2,0.1,,nn
ALD,0,0.05,0.2,0.1,,nn
DIELD,0,0.05,0.05,0.1,,nn
DDEPP,0,0.05,0.05,0.1,,nn
DDTPP,0,0.05,0.05,0.1,,nn
TDEPP,0,0.05,0.05,0.1,,nn
HCHA,0,0.05,0.05,0.1,,nn
HCHB,0,0.05,0.05,0.1,,nn
HCHG,0,0.05,0.05,0.1,,nn
CORG,0,0.02,0.02,0.05,2.5,nn
CTOT,0.5,0.5,0.02,0.05,3.5,nn
AL,0.4,0.4,0.05,0.03,5,Ps
AS,3,1.5,0.5,0.06,,Ps
CD,0.03,0.06,0.02,0.08,,Ps
CR,13,6,3,0.05,,Ps
CU,1,1,0.5,0.06,,Ps
HG,0,0.04,0.02,0.05,,Ps
LI,4,0.5,0.2,0.05,52,Ps
NI,2.5,1.1,3,0.08,,Ps
PB,2,2.2,3,0.08,,Ps
ZN,8,9,3,0.03,,Ps
BD100,0,0.01,0.01,0.1,,nn
BD153,0,0.01,0.01,0.1,,nn
BD154,0,0.01,0.01,0.1,,nn
BD183,0,0.01,0.01,0.1,,nn
BD209,0,0.01,0.01,0.1,,nn
BDE28,0,0.01,0.01,0.1,,nn
BDE47,0,0.01,0.01,0.1,,nn
BDE66,0,0.01,0.01,0.1,,nn
BDE85,0,0.01,0.01,0.1,,nn
BDE99,0,0.01,0.01,0.1,,nn
SBDE6,0,0.01,0.01,0.1,,nn
HBCD,0,0.01,0.01,0.1,,nn
HBCDA,0,0.01,0.01,0.1,,nn
HBCDB,0,0.01,0.01,0.1,,nn
HBCDG,0,0.01,0.01,0.1,,nn
PFOS,0,0.01,0.01,0.1,,nn
PFOA,0,0.01,0.01,0.1,,nn
HCB,0,0.05,0.05,0.1,,nn
HCBD,0,0.05,0.05,0.1,,nn
HCEPX,0,0.05,0.05,0.1,,nn
MBSN+,0,0.05,0.05,0.1,,nn
DBSN+,0,0.05,0.05,0.1,,nn
TBSN+,0,0.05,0.05,0.1,,nn
MPSN+,0,0.05,0.05,0.1,,nn
DPSN+,0,0.05,0.05,0.1,,nn
TPSN+,0,0.05,0.05,0.1,,nn
ACNE,0,0.05,0.05,0.1,,nn
ACNLE,0,0.05,0.05,0.1,,nn
ANT,0,5,3,0.1,,nn
BAA,0,5,3,0.1,,nn
BAP,0,5,3,0.1,,nn
BBKF,0,5,3,0.1,,nn
BBJKF,0,5,3,0.1,,nn
BEP,0,5,3,0.1,,nn
BGHIP,0,5,3,0.1,,nn
CHR,0,5,3,0.1,,nn
CHRTR,0,3,3,0.1,,nn
DBAHA,0,0.5,0.5,0.1,,nn
DBT,0,0.5,0.5,0.1,,nn
DBTC1,0,0.5,0.5,0.1,,nn
DBTC2,0,0.5,0.5,0.1,,nn
DBTC3,0,0.5,0.5,0.1,,nn
FLE,0,0.5,0.5,0.1,,nn
FLU,0,5,3,0.1,,nn
ICDP,0,5,3,0.1,,nn
NAP,0,3,3,0.1,,nn
NAP1M,0,0.5,0.5,0.1,,nn
NAP2M,0,0.5,0.5,0.1,,nn
NAPC1,0,0.5,0.5,0.1,,nn
NAPC2,0,0.5,0.5,0.1,,nn
NAPC3,0,0.5,0.5,0.1,,nn
NAPD2,0,0.5,0.5,0.1,,nn
NAPD3,0,0.5,0.5,0.1,,nn
NAPDI,0,0.5,0.5,0.1,,nn
NAPT2,0,0.5,0.5,0.1,,nn
NAPT3,0,0.5,0.5,0.1,,nn
NAPT4,0,0.5,0.5,0.1,,nn
NAPTM,0,0.5,0.5,0.1,,nn
PA,0,5,3,0.1,,nn
PAC1,0,0.5,0.5,0.1,,nn
PAC2,0,0.5,0.5,0.1,,nn
PAC3,0,0.5,0.5,0.1,,nn
PADM1,0,0.5,0.5,0.1,,nn
PADM2,0,0.5,0.5,0.1,,nn
PAM1,0,0.5,0.5,0.1,,nn
PAM2,0,0.5,0.5,0.1,,nn
PAM9,0,0.5,0.5,0.1,,nn
PER,0,0.5,0.5,0.1,,nn
PYR,0,3,3,0.1,,nn
TRI,0,3,3,0.1,,nn
AL,1.4,0.6,0.05,0.03,5.8,Tot
AS,5,3,0.5,0.06,,Tot
CD,0.03,0.06,0.02,0.08,,Tot
CR,13,6,3,0.05,,Tot
CU,3,1,0.5,0.06,,Tot
HG,0,0.04,0.02,0.05,,Tot
LI,7,0.5,0.2,0.05,52,Tot
NI,4,2,3,0.08,,Tot
PB,9,3,3,0.08,,Tot
ZN,13,5,3,0.03,,Tot
AL,0.3,0.2,0.05,0.03,4,Pw
AS,1.5,1.5,0.5,0.06,,Pw
CD,0.03,0.06,0.02,0.08,,Pw
CR,10,6,3,0.05,,Pw
CU,1,1,0.5,0.06,,Pw
HG,0,0.04,0.02,0.05,,Pw
LI,3,0.2,0.2,0.05,40,Pw
NI,2.5,1.1,3,0.08,,Pw
PB,2,2.2,3,0.08,,Pw
ZN,8,9,3,0.03,,Pw
AL,0.4,0.4,0.05,0.03,5,nn
AS,3,1.5,0.5,0.06,,nn
CD,0.03,0.06,0.02,0.08,,nn
CR,13,6,3,0.05,,nn
CU,1,1,0.5,0.06,,nn
HG,0,0.04,0.02,0.05,,nn
LI,4,0.5,0.2,0.05,52,nn
NI,2.5,1.1,3,0.08,,nn
PB,2,2.2,3,0.08,,nn
ZN,8,9,3,0.03,,nn
HG,0,0.04,0.02,0.05,,Pe
AL,0.3,0.2,0.05,0.03,3.2,PNL
AS,1.5,1.5,0.5,0.06,,PNL
CD,0.03,0.06,0.02,0.08,,PNL
CR,13,6,3,0.05,,PNL
CU,1,1,0.5,0.06,,PNL
HG,0,0.04,0.02,0.05,,PNL
LI,3,0.2,0.2,0.05,44,PNL
NI,2.5,1.1,3,0.08,,PNL
PB,2,2.2,3,0.08,,PNL
ZN,8,9,3,0.03,,PNL
